0x803D64	Name	Details	ID	Support Class	Portrait	Map Portrait	B9	Unit Sort Order	LV	HP	POW	SKL	SPD	DEF	RES	LUK	CON	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	HP	POW	SKL	SPD	DEF	RES	LUK	??	??	??	??	??	Ability 1	Ability 2	Ability 3	Ability 4	Support Data	Conversation Group	??	??	??
DC Enemy	0x0267	0x00	0xDC	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
DD Enemy	0x0267	0x00	0xDD	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
DE Enemy	0x0267	0x00	0xDE	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
DF Enemy	0x0267	0x00	0xDF	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E0 Enemy	0x0267	0x00	0xE0	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E1 Enemy	0x0267	0x00	0xE1	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E2 Enemy	0x0267	0x00	0xE2	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E3 Enemy	0x0267	0x00	0xE3	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E4 Enemy	0x0267	0x00	0xE4	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E5 Enemy	0x0267	0x00	0xE5	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E6 Enemy	0x0267	0x00	0xE6	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E7 Enemy	0x0267	0x00	0xE7	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E8 Enemy	0x0267	0x00	0xE8	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
E9 Enemy	0x0267	0x00	0xE9	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
EA Enemy	0x0267	0x00	0xEA	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
EB Enemy	0x0267	0x00	0xEB	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
EC Enemy	0x0267	0x00	0xEC	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
ED Enemy	0x0267	0x00	0xED	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
EE Enemy	0x0267	0x00	0xEE	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
EF Enemy	0x0267	0x00	0xEF	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F0 Enemy	0x0267	0x00	0xF0	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F1 Enemy	0x0267	0x00	0xF1	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F2 Enemy	0x0267	0x00	0xF2	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F3 Enemy	0x0267	0x00	0xF3	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F4 River Folk	0x0266	0x02BD	0xF4	0x6D	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F5 River Folk	0x0266	0x02BD	0xF5	0x6E	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F6 River Folk	0x0266	0x02BD	0xF6	0x6F	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F7 River Folk	0x0266	0x02BD	0xF7	0x70	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F8 River Folk	0x0266	0x02BD	0xF8	0x6D	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
F9 Renais Cit.	0x0265	0x02BC	0xF9	0x6E	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
FA Renais Cit.	0x0265	0x02BC	0xFA	0x71	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
FB Renais Cit.	0x0265	0x02BC	0xFB	0x72	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
FC Citizen	0x0264	0x00	0xFC	0x71	0x00	0x05	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	45	80	30	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x00	0x00	0x00
FD Enemy	0x0267	0x00	0xFD	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
FE Wall	0x0268	0x00	0xFE	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
FF Snag	0x0269	0x00	0xFF	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
